trait	Q1_index	Q2_index	Q1_chr	Q1_pos	Q2_chr	Q2_pos	LOD	lm_coefficient	variance_explained	closest.additive.Q1	closest.additive.Q2	number of interactors that are not additve QTL
YPD	6750	25803	chrV	198865	chrXV	577639	3.904877467	0.033228068	0.00110218	6750	25772	0
YPD	11964	23491	chrIX	32963	chrXIV	488598	3.829210167	-0.040474098	0.001612879	11973	23491	0
Zeocin	5451	11147	chrIV	998484	chrVIII	114934	15.79223106	0.069351721	0.005681863	5415	11147	0
Zeocin	19009	20571	chrXII	644551	chrXIII	24565	11.65013331	0.058703898	0.004168355	19010	20571	0
Zeocin	11132	20571	chrVIII	103247	chrXIII	24565	9.976235088	0.056062591	0.003316099	11147	20571	0
Zeocin	20581	23282	chrXIII	28338	chrXIV	379436	7.590605473	-0.04773462	0.002694385	20571	23282	0
Zeocin	11216	24580	chrVIII	142368	chrXV	163253	7.464848145	0.045469473	0.002410248	11147	24580	0
Zeocin	19096	22233	chrXII	675394	chrXIII	698988	5.070270055	-0.037566575	0.001320614	19010	22233	0
Zeocin	11147	21579	chrVIII	114934	chrXIII	399724	5.026719592	0.038305768	0.001384545	11147	21572	0
Zeocin	294	19038	chrI	130776	chrXII	657825	4.875714791	-0.030715116	0.001273236	294	19010	0
Zeocin	11147	22218	chrVIII	114934	chrXIII	687551	4.587382168	-0.035743086	0.001036067	11147	22233	0
Zeocin	13633	20704	chrX	100283	chrXIII	60420	4.550203396	-0.037182279	0.001360082	13671	20704	0
Zeocin	5568	23282	chrIV	1067784	chrXIV	379436	4.544015389	0.039227085	0.001569199	5415	23282	0
Zeocin	18543	18825	chrXII	413007	chrXII	570032	4.488535711	-0.032502367	0.001122409	18318	18825	1
Zeocin	17862	24580	chrXII	97599	chrXV	163253	4.487593737	-0.036240139	0.001497596	18017	24580	0
Zeocin	11147	13510	chrVIII	114934	chrX	79647	4.362867245	-0.038230295	0.001426167	11147	13671	0
Zeocin	14822	23282	chrX	552584	chrXIV	379436	4.287196628	0.035414689	0.001077629	14807	23282	0
Zeocin	24580	25569	chrXV	163253	chrXV	502590	4.151471646	-0.033048924	0.001066389	24580	25825	1
Zeocin	2374	24580	chrII	561879	chrXV	163253	4.147279354	0.035805453	0.00137584	1984	24580	1
Zeocin	110	23275	chrI	48751	chrXIV	374659	3.905938318	0.023931294	0.000625288	110	23282	0
Zeocin	18825	24676	chrXII	570032	chrXV	189231	3.786000018	0.033954084	0.001133517	18825	24580	0
Zeocin	6385	19749	chrV	29269	chrXII	815526	3.773788477	0.033383079	0.001095161	6079	19749	1
